steps,reward,error
20000,22.00,0.00
40000,22.00,0.00
60000,22.00,0.00
80000,22.00,0.00
100000,22.00,0.00
120000,22.00,0.00
140000,22.00,0.00
160000,22.00,0.00
180000,22.00,0.00
200000,22.00,0.00
220000,22.00,0.00
240000,22.00,0.00
260000,22.00,0.00
280000,22.00,0.00
300000,22.00,0.00
320000,22.00,0.00
340000,22.00,0.00
360000,22.00,0.00
380000,22.00,0.00
400000,22.00,0.00
420000,22.00,0.00
440000,22.00,0.00
460000,22.00,0.00
480000,22.00,0.00
500000,22.00,0.00
520000,22.00,0.00
540000,22.00,0.00
560000,22.00,0.00
580000,22.00,0.00
600000,22.00,0.00
620000,22.00,0.00
640000,22.00,0.00
660000,22.00,0.00
680000,22.00,0.00
700000,22.00,0.00
720000,22.00,0.00
740000,22.00,0.00
760000,22.00,0.00
780000,22.00,0.00
800000,22.00,0.00
820000,22.00,0.00
840000,22.00,0.00
860000,22.00,0.00
880000,22.00,0.00
900000,22.00,0.00
920000,22.00,0.00
940000,22.00,0.00
960000,22.00,0.00
980000,22.00,0.00
1000000,22.00,0.00
1020000,22.00,0.00
1040000,22.00,0.00
1060000,22.00,0.00
1080000,22.00,0.00
1100000,22.00,0.00
1120000,22.00,0.00
1140000,22.00,0.00
1160000,22.00,0.00
1180000,22.00,0.00
1200000,22.00,0.00
1220000,22.00,0.00
1240000,22.00,0.00
1260000,22.00,0.00
1280000,22.00,0.00
1300000,22.00,0.00
1320000,22.00,0.00
1340000,22.00,0.00
1360000,22.00,0.00
1380000,22.00,0.00
1400000,22.00,0.00
1420000,22.00,0.00
1440000,22.00,0.00
1460000,22.00,0.00
1480000,22.00,0.00
1500000,22.00,0.00
1520000,22.00,0.00
1540000,22.00,0.00
1560000,22.00,0.00
1580000,22.00,0.00
1600000,22.00,0.00
1620000,22.00,0.00
1640000,22.00,0.00
1660000,22.00,0.00
1680000,22.00,0.00
1700000,22.00,0.00
1720000,22.00,0.00
1740000,22.00,0.00
1760000,22.00,0.00
1780000,22.00,0.00
1800000,22.00,0.00
1820000,22.00,0.00
1840000,22.00,0.00
1860000,22.00,0.00
1880000,22.00,0.00
1900000,22.00,0.00
1920000,22.00,0.00
1940000,22.00,0.00
1960000,22.00,0.00
1980000,22.00,0.00
2000000,22.00,0.00
2020000,22.00,0.00
2040000,22.00,0.00
2060000,22.00,0.00
2080000,22.00,0.00
2100000,22.00,0.00
2120000,22.00,0.00
2140000,22.00,0.00
2160000,22.00,0.00
2180000,22.00,0.00
2200000,22.00,0.00
2220000,22.00,0.00
2240000,22.00,0.00
2260000,22.00,0.00
2280000,22.00,0.00
2300000,22.00,0.00
2320000,22.00,0.00
2340000,22.00,0.00
