steps,reward,error
20000,-2.02,0.50
40000,-1.94,1.50
60000,-2.21,1.49
80000,-1.98,0.50
100000,-2.06,0.50
120000,-2.04,0.50
140000,-1.90,0.49
160000,-1.95,0.50
180000,-1.98,0.50
200000,-1.99,0.50
220000,-2.06,0.50
240000,-1.97,0.50
260000,-2.04,0.50
280000,-1.96,0.50
300000,-2.06,0.50
320000,-2.03,0.50
340000,-1.99,0.50
360000,-2.08,0.49
380000,-1.93,0.50
400000,-1.93,0.50
420000,-2.00,0.50
440000,-2.02,0.50
460000,-1.98,0.50
480000,-1.90,0.49
500000,-2.00,0.50
520000,-1.98,0.50
540000,-2.00,0.50
560000,-2.02,0.50
580000,-1.93,0.50
600000,-1.98,0.50
620000,-1.94,0.50
640000,-2.03,0.50
660000,-1.99,0.50
680000,-1.97,0.50
700000,-2.03,0.50
720000,-2.06,0.50
740000,-1.93,0.50
760000,-1.93,0.50
780000,-1.99,0.50
800000,-2.04,0.50
820000,-2.02,0.50
840000,-1.96,0.50
860000,-1.96,0.50
880000,-1.94,0.50
900000,-2.01,0.50
920000,-1.99,0.50
940000,-2.06,0.50
960000,-1.97,0.50
980000,-1.92,0.49
1000000,-2.05,0.50
1020000,-2.04,0.50
1040000,-2.14,0.48
1060000,-1.99,0.50
1080000,-2.02,0.50
1100000,-1.98,0.50
1120000,-2.03,0.50
1140000,-1.99,0.50
1160000,-2.01,0.50
1180000,-1.98,0.50
1200000,-2.05,0.50
1220000,-2.01,0.50
1240000,-2.05,0.50
1260000,-2.03,0.50
1280000,-1.97,0.50
1300000,-1.96,0.50
1320000,-1.97,0.50
1340000,-1.96,0.50
1360000,-1.94,0.50
1380000,-1.93,0.50
1400000,-2.06,0.50
1420000,-1.96,0.50
1440000,-1.98,0.50
1460000,-2.00,0.50
1480000,-1.98,0.50
1500000,-2.01,0.50
1520000,-1.95,0.50
1540000,-2.03,0.50
1560000,-1.95,0.50
1580000,-2.04,0.50
1600000,-2.03,0.50
1620000,-2.03,0.50
1640000,-2.02,0.50
1660000,-2.05,0.50
1680000,-1.94,0.50
1700000,-2.07,0.50
1720000,-1.97,0.50
1740000,-1.93,0.50
1760000,-1.97,0.50
1780000,-1.96,0.50
1800000,-1.94,0.50
1820000,-1.98,0.50
1840000,-2.05,0.50
1860000,-1.98,0.50
1880000,-2.00,0.50
1900000,-2.03,0.50
1920000,-1.97,0.50
1940000,-1.98,0.50
1960000,-1.96,0.50
1980000,-2.06,0.50
2000000,-2.00,0.50
2020000,-2.03,0.50
2040000,-1.99,0.50
2060000,-2.01,0.50
2080000,-1.98,0.50
2100000,-2.01,0.50
2120000,-1.96,0.50
2140000,-2.07,0.50
2160000,-2.01,0.50
2180000,-2.10,0.49
2200000,-1.96,0.50
2220000,-1.92,0.49
2240000,-2.07,0.50
2260000,-1.93,0.50
2280000,-1.99,0.50
2300000,-1.96,0.50
2320000,-2.01,0.50
2340000,-1.99,0.50
2360000,-2.01,0.50
2380000,-1.89,0.49
2400000,-1.96,0.50
2420000,-2.03,0.50
2440000,-2.08,0.49
2460000,-2.00,0.50
2480000,-2.06,0.50
2500000,-1.97,0.50
2520000,-1.93,0.50
2540000,-1.92,0.49
2560000,-1.97,0.50
2580000,-1.96,0.50
2600000,-2.07,0.50
2620000,-2.07,0.50
2640000,-1.99,0.50
2660000,-1.91,0.49
2680000,-2.04,0.50
2700000,-2.02,0.50
2720000,-2.13,0.48
2740000,-2.00,0.50
2760000,-1.88,0.49
2780000,-1.95,0.50
2800000,-1.95,0.50
2820000,-2.00,0.50
2840000,-1.95,0.50
2860000,-2.06,0.50
2880000,-2.03,0.50
2900000,-2.03,0.50
2920000,-2.02,0.50
2940000,-1.96,0.50
2960000,-2.01,0.50
2980000,-2.02,0.50
3000000,-2.10,0.49
